current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
0;303.0286668575319;305.12085;306.2705466028763;311.4546705472243;4000;773.2756423073556;773.22860711566;773.22860711566;70.0;66.26280590792648;70.0;50;50.0;0.0;3;50;50;0.9189736332296476;7.227651043168578;3113.989330179547;3396.4162500000007;184.0;180.0;136.0;0;6
1;303.0570470464885;305.28644;306.44585792230436;311.4546705472243;4000;773.3627102869848;773.268779073234;773.268779073234;70.0;62.73727974494889;70.0;50;50.0;0.0;3;50;50;0.9606241093146309;136.4512766286624;3126.228058389327;3396.41625;184.0;180.0;136.0;0;6
2;303.0851434335555;305.78076;306.71200912927264;311.4546705472243;4000;773.4496844485503;773.3089058583734;773.3089058583734;70.0;63.11423594201283;70.0;50;50.0;0.0;3;50;50;1.0281053609146185;297.2387842017387;3194.634970320787;3396.41625;184.0;180.0;136.0;0;6
3;303.11295885675185;306.28473;306.9359008734599;311.4546705472243;4000;773.5365648931437;773.3489875218735;773.3489875218735;70.0;63.37185708067986;70.0;50;50.0;0.0;3;50;50;1.083686993561569;438.0042639678775;3242.64785087828;3396.41625;184.0;180.0;136.0;0;6
4;303.14049612571625;306.7412;307.11778742828017;311.4546705472243;4000;773.6233517217473;773.3890241144726;773.3890241144726;70.0;63.571747498553194;70.0;50;50.0;-1.4210854715202004e-14;3;50;50;1.127440289535323;550.1784883184386;3279.078031964038;3396.41625;184.0;180.0;136.0;0;6
5;303.167758021991;307.1135;307.26593307472217;311.4546705472243;4000;773.7100450352351;773.4290156868519;773.4290156868519;70.0;63.73986169467696;70.0;50;50.0;0.0;3;50;50;1.161707130940884;637.2185037343518;3308.422473534144;3396.41625;184.0;180.0;136.0;0;6
6;303.194747299303;307.39133;307.387361513649;311.4546705472243;4000;773.7966449343719;773.4689622896356;773.4689622896356;70.0;63.89181370626122;70.0;50;50.0;1.4210854715202004e-14;3;50;50;1.1884777412921717;703.7123767398072;3332.852736548222;3396.41625;184.0;180.0;136.0;0;6
7;303.22146668384187;307.5795;307.48721141039994;311.4546705472243;4000;773.8831515198142;773.5088639733908;773.5088639733908;70.0;64.03842903996214;70.0;50;50.0;0.0;3;50;50;1.209208002062639;753.3294846788338;3353.6442231567476;3396.41625;184.0;180.0;136.0;0;6
8;303.24791887453534;307.69226;307.57105664865617;311.4546705472243;4000;773.96956489211;773.5487207886281;773.5487207886281;70.0;64.19257965737246;70.0;50;50.0;0.0;3;50;50;1.2254771735260706;790.1079603504228;3372.1226258175943;3396.4162500000007;184.0;180.0;136.0;0;6
9;303.2741065433219;307.7525;307.6406090610698;311.4546705472243;4000;774.055885151699;773.588532785801;773.588532785801;70.0;64.36407798605761;70.0;50;50.0;0.0;3;50;50;1.2377697504059908;815.5129953028304;3388.468298734521;3396.4162500000007;184.0;180.0;136.0;0;6
10;303.3000323354206;307.7855;307.6904065386154;311.4546705472243;4000;774.1421123989127;773.6283000153064;773.6283000153064;70.0;64.52763575147678;70.0;50;50.0;0.0;3;50;50;1.2445366422186468;826.2582098567838;3400.706265495065;3396.41625;184.0;180.0;136.0;0;6
11;303.3256988695983;307.8398;308.4779116216147;311.4546705472243;9500.0;774.2282467339742;773.6680225274845;773.6680225274845;70.0;64.81958567544422;70.0;50;11.0;0.0;3;50;50;0.4949970162790509;832.0043833328936;4128.443010053434;10021.166250000002;184.0;180.0;136.0;0;6
12;303.3511087384342;309.01926;308.51905557161444;311.4546705472243;9500.0;774.8468969649261;774.2272293670275;774.2272293670275;70.0;65.35248971058765;70.0;50;11.0;0.0;3;50;50;0.49650866255704046;833.108062642482;4142.487789406772;10021.166250000002;184.0;180.0;136.0;0;6
13;303.37626450858176;309.05405;308.5549779365507;311.4546705472243;9500.0;775.4648805838011;774.7858073914485;774.7858073914485;70.0;65.91328826953006;70.0;50;11.0;0.0;3;50;50;0.4975430593400142;832.1672739090491;4153.79444027085;10021.166250000002;184.0;180.0;136.0;0;6
14;303.40116872102783;308.97128;308.5887689333033;311.4546705472243;9500.0;776.0821983088912;775.3437573078359;775.3437573078359;70.0;66.54083121742852;70.0;50;11.0;0.0;3;50;50;0.49839685399636946;830.5109568396482;4164.006775534948;10021.166250000002;184.0;180.0;136.0;0;6
15;303.42582389134947;308.88507;308.6244485501024;311.4546705472243;9500.0;776.6988508577147;775.9010798224822;775.9010798224822;70.0;67.1946237859216;70.0;50;11.0;0.20622426722133014;3;50;50;0.49945602378906145;830.8893077901084;4174.242541164032;10021.166250000002;184.0;180.0;136.0;0;6
16;303.45023250996786;308.83618;308.65857937343594;311.4546705472243;9500.0;777.3148389470167;776.4577756408863;776.4577756408863;70.0;67.77094715133364;70.0;50;11.0;0.5470661126127652;3;50;50;0.5003900811654312;831.008875593698;4183.483317616083;10021.166250000002;184.0;180.0;136.0;0;6
17;303.4743970424001;308.82556;308.68802759908476;311.4546705472243;9500.0;777.9301632927701;777.0138454677536;777.0138454677536;70.0;68.32844657692459;70.0;50;11.0;1.0814011573653062;3;50;50;0.5008977101208059;829.6162895620091;4189.962937802896;10021.166250000002;184.0;180.0;136.0;0;6
18;303.498319929508;308.83688;308.7238763195126;311.4546705472243;9500.0;778.5448246101762;777.5692900069971;777.5692900069971;70.0;69.00717919728744;70.0;50;11.0;2.622010893490642;3;50;50;0.5020434803352977;834.1444770463708;4196.916704122255;10021.166250000002;184.0;180.0;136.0;0;6
19;303.52200358774485;308.85492;308.7630417932106;311.4546705472243;9500.0;779.1588236136656;778.1241099617381;778.1241099617381;70.0;69.59660372494277;70.0;50;11.0;3.738739935179376;3;50;50;0.5035308902752074;841.5972212382194;4204.369542220144;10021.166250000002;184.0;180.0;136.0;0;6
20;303.5454504093993;308.87268;308.8030474080813;311.4546705472243;9500.0;779.7721610168993;778.6783060343074;778.6783060343074;70.0;70.16406968645073;70.0;50;11.0;4.336459478393783;3;50;50;0.5051217704716828;850.6920292049072;4211.217209186169;10021.166250000002;184.0;180.0;136.0;0;6
21;303.56866276283716;308.88953;308.84611254871226;311.4546705472243;9500.0;780.3848375327691;779.2318789262462;779.2318789262462;70.0;70.71462985360132;70.0;50;11.0;4.513056724405407;3;50;50;0.5070291199734193;863.1536318101828;4217.869473034649;10021.166250000002;184.0;180.0;136.0;0;6
22;303.5916429927407;308.9291;308.89152608089154;311.4546705472243;9500.0;780.9968538733987;779.7848293383065;779.7848293383065;70.0;71.25630446820448;70.0;50;11.0;4.9886970247540035;3;50;50;0.5091843915482294;877.9149273844723;4224.70651222543;10021.166250000002;184.0;180.0;136.0;0;6
23;303.61439342034515;308.97208;308.94187975669314;311.4546705472243;9500.0;781.6082107501444;780.3371579704525;780.3371579704525;70.0;71.7928325297648;70.0;50;11.0;5.438356762589569;3;50;50;0.5118363638472812;895.7619932999507;4233.435301609143;10021.166250000002;184.0;180.0;136.0;0;6
24;303.6369163436736;309.0186;308.984355970333;311.4546705472243;9500.0;782.2189088735962;780.8888655218614;780.8888655218614;70.0;72.28407325029475;70.0;50;11.0;5.781034553803067;3;50;50;0.5137533691505362;914.9647726494325;4233.443151105713;10021.166250000002;184.0;180.0;136.0;0;6
25;303.6592140377688;309.06683;309.0140302486069;311.4546705472243;9500.0;782.8289489535782;781.439952690924;781.439952690924;70.0;72.77548482675611;70.0;50;11.0;6.028040936479454;3;50;50;0.5144620718642156;937.6477011792797;4217.862250291472;10021.166250000002;184.0;180.0;136.0;0;6
26;303.681288754923;309.11172;309.117175774284;311.4546705472243;9500.0;783.4383316991499;781.9904201752458;781.9904201752458;70.0;73.21195697949688;70.0;50;11.0;6.260396877202959;3;50;50;0.5222509210941799;963.2114330562257;4270.351871444186;10021.166250000002;184.0;180.0;136.0;0;6
27;303.70314272490566;309.164;309.1606612317904;311.4546705472243;9500.0;784.0470578186064;782.540268671648;782.540268671648;70.0;74.08029213868103;70.0;50;11.0;6.372994367582419;3;50;50;0.5243291586005308;980.0137277012855;4274.375940357252;10021.166250000002;184.0;180.0;136.0;0;6
28;303.7247781551885;309.2264;309.18203175959627;311.4546705472243;9500.0;784.6551280194799;783.0894988761682;783.0894988761682;70.0;75.03860746152142;70.0;50;11.0;6.48316681624218;3;50;50;0.5243037081888243;971.5556503028071;4282.578974948889;10021.166250000002;184.0;180.0;136.0;0;6
29;303.74619723116854;309.28183;309.18444428211177;311.4546705472243;9500.0;785.2625430085401;783.6381114840613;783.6381114840613;70.0;75.46479717489042;70.0;50;11.0;6.580102244446505;3;50;50;0.5224776602929937;954.5955403669502;4281.239955340164;10021.166250000002;184.0;180.0;136.0;0;6
30;303.7674021163888;309.31955;309.1714257832187;311.4546705472243;9500.0;785.8693034917952;784.1861071898003;784.1861071898003;70.0;75.77779414269332;70.0;50;11.0;6.673380760061889;3;50;50;0.5191896607793046;942.7185881875588;4260.167317762958;10021.166250000002;184.0;180.0;136.0;0;6
31;303.7883949527568;309.33426;309.1865013091847;311.4546705472243;9500.0;786.4754101744926;784.7334866870774;784.7334866870774;70.0;76.18346355040565;70.0;50;11.0;6.752473659543182;3;50;50;0.5186211572771465;938.2619080024651;4258.926929839218;10021.166250000002;184.0;180.0;136.0;0;6
32;303.8091778607611;309.33365;309.22764080738557;311.4546705472243;9500.0;787.0808637611198;785.2802506688047;785.2802506688047;70.0;76.6039558684547;70.0;50;11.0;6.820356150377779;3;50;50;0.5205769094740955;939.8027581707192;4276.984997580394;10021.166250000002;184.0;180.0;136.0;0;6
33;303.8297529396854;309.33517;309.25789541265334;311.4546705472243;9500.0;787.6856649554051;785.8263998271151;785.8263998271151;70.0;76.98346155325497;70.0;50;11.0;6.866773635106767;3;50;50;0.5215068665410129;943.9180794027409;4282.188930721312;10021.166250000002;184.0;180.0;136.0;0;6
34;303.8501222678205;309.34744;309.2899976162435;311.4546705472243;9500.0;788.2898144603187;786.3719348533634;786.3719348533634;70.0;77.42787835539295;70.0;50;11.0;6.908325085962633;3;50;50;0.5226340983969475;955.384840795914;4282.018347158757;10021.166250000002;184.0;180.0;136.0;0;6
